4812, 3787.0, 10246.0, 6416.0, 505.0, 21.0
4813, 3787.0, 9260.0, 6402.0, 503.0, 19.0
4814, 3785.0, 9236.0, 6377.0, 503.0, 19.0
4826, 3772.0, 8404.0, 6461.0, 509.0, 17.0
4827, 3771.0, 8899.0, 6483.0, 510.0, 18.0
4830, 3742.0, 13404.0, 6469.0, 515.0, 27.0
4831, 3737.0, 17857.0, 6632.0, 524.0, 35.0
4832, 3725.0, 10400.0, 6467.0, 509.0, 21.0
4832, 3758.0, 13521.0, 6545.0, 524.0, 27.0
4833, 3761.0, 14018.0, 6505.0, 524.0, 28.0
4834, 3770.0, 12436.0, 6568.0, 523.0, 25.0
4836, 3715.0, 9176.0, 6344.0, 499.0, 19.0
4850, 3717.0, 8223.0, 6335.0, 500.0, 17.0
4852, 3739.0, 8300.0, 6390.0, 502.0, 17.0
4853, 3735.0, 10917.0, 6503.0, 523.0, 22.0
4855, 3718.0, 8146.0, 6259.0, 492.0, 17.0
4856, 3715.0, 18285.0, 6451.0, 522.0, 37.0
4857, 3716.0, 11338.0, 6435.0, 519.0, 23.0
4857, 7149.0, 10745.0, 6387.0, 511.0, 22.0
4858, 7149.0, 10187.0, 6371.0, 509.0, 21.0
4859, 3719.0, 15593.0, 6502.0, 529.0, 31.0
4860, 3719.0, 13632.0, 6325.0, 505.0, 28.0
4861, 3721.0, 11213.0, 6364.0, 501.0, 23.0
4862, 3721.0, 11157.0, 6350.0, 506.0, 23.0
4863, 3720.0, 12439.0, 6510.0, 535.0, 25.0
4864, 3721.0, 11560.0, 6616.0, 535.0, 23.0
4865, 3720.0, 12656.0, 6624.0, 543.0, 25.0
4866, 3720.0, 12114.0, 6610.0, 532.0, 24.0
4867, 3720.0, 10930.0, 6504.0, 514.0, 22.0
4868, 3719.0, 11919.0, 6457.0, 508.0, 24.0
4868, 6143.0, 12080.0, 6637.0, 552.0, 24.0
4869, 3718.0, 13005.0, 6513.0, 511.0, 26.0
4870, 3716.0, 14625.0, 6362.0, 503.0, 30.0
4872, 3716.0, 9527.0, 6505.0, 511.0, 19.0
